JID	BRACA	PERCURSO	NOME	SUBTITULO	N	NECESSIDADES
J01	1	Jornada	Antes de você procurar	O Deus que fala primeiro	10	quero conhecer melhor a Deus;estou espiritualmente frio;não sei por onde começar
J02	1	Travessia	Terra firme	O evangelho, do começo ao fim	12	quero entender o evangelho;não tenho certeza da minha salvação;quero aprofundar minha fé
J03	1	Jornada	O nome que Ele te deu	Identidade, adoção e pertencimento	10	não sei quem eu sou;me sinto rejeitado;me comparo demais
J04	1	Rota	Abrir o livro	Como ler a Bíblia sem se perder	12	quero aprender a ler a Bíblia;acho a Bíblia difícil;quero criar constância
J05	1	Jornada	O que não se paga	Graça	8	me sinto culpado;acho que preciso merecer Deus;estou exausto de tentar
J06	1	Grande jornada	Conhecer Jesus	Vinte e um encontros com o Filho de Deus	21	quero conhecer melhor Jesus;quero aprofundar minha fé;estou espiritualmente frio
J07	1	Jornada	O hóspede que ficou	O Espírito Santo na vida comum	8	quero conhecer o Espírito Santo;me sinto sem força;quero mudar de verdade
J08	2	Grande jornada	Aprender a orar	Vinte e um passos para uma vida de oração	21	quero aprender a orar;não sei o que dizer a Deus;minha oração esfriou
J09	2	Travessia	O peso do amanhã	Ansiedade e confiança	15	estou ansioso;estou preocupado com o futuro;não consigo dormir de preocupação
J10	2	Jornada	Quando o céu fica calado	O silêncio de Deus	7	Deus parece em silêncio;orei e nada aconteceu;me sinto abandonado
J11	2	Travessia curta	O caminho de volta	Recomeçar	5	quero recomeçar;parei de orar;me afastei de Deus
J12	2	Rota	A constância possível	Fidelidade sem produtividade	10	quero criar constância;desisto de tudo pela metade;quero desenvolver disciplina
J13	2	Jornada	Obedecer antes de entender	Obediência	8	não entendo o que Deus está fazendo;sei o que devo fazer e não faço;quero obedecer
J14	2	Jornada	O que o medo promete	Medo	7	estou com medo;tenho medo do futuro;tenho medo de perder alguém
J15	2	Travessia	Entre a promessa e o cumprimento	A espera	10	estou esperando algo;minha oração não foi respondida;estou impaciente
J16	3	Travessia	O que se forma no escuro	Sofrimento	15	estou sofrendo;estou doente;não entendo por que isso aconteceu
J17	3	Jornada	Santidade sem vitrine	Santidade e caráter	12	quero mudar de verdade;vivo uma fé de aparência;quero agradar a Deus
J18	3	Jornada	Dúvida honesta	Fé e dúvida	7	estou em dúvida;perdi a certeza;tenho perguntas que ninguém responde
J19	3	Rota	Ver com clareza	Discernimento	10	preciso de discernimento;não sei em que acreditar;quero saber o que vem de Deus
J20	3	Travessia	A ausência que não fecha	Luto	7	estou de luto;perdi alguém;a dor não passa
J21	3	Jornada	Sozinho não é o fim	Solidão	7	me sinto sozinho;ninguém me entende;estou isolado
J22	3	Rota	O que se decide antes	Tentação e domínio próprio	12	estou tentando abandonar um pecado;caio sempre no mesmo lugar;quero domínio próprio
J23	3	Travessia	Culpa não é penitência	Culpa, vergonha e perdão de Deus	10	me sinto culpado;acho que Deus não me perdoa;tenho vergonha do meu passado
J24	4	Travessia	Soltar o que te prende	Perdoar	12	preciso perdoar alguém;fui traído;guardo mágoa
J25	4	Rota	Antes de escolher	Decisões e sabedoria	10	preciso tomar uma decisão;não sei o que fazer;preciso de sabedoria
J26	4	Rota	O dinheiro diz a verdade	Dinheiro, generosidade e contentamento	12	estou lidando com dinheiro;estou endividado;quero ser generoso
J27	4	Jornada	Segunda-feira também é santa	Trabalho	10	odeio meu trabalho;estou sobrecarregado no trabalho;quero trabalhar com propósito
J28	4	Travessia	O amor que fica	Casamento	12	meu casamento está difícil;quero cuidar do meu casamento;estou reconstruindo uma relação
J29	4	Jornada	A casa por dentro	Família	10	estou com desafios familiares;quero ser melhor pai ou mãe;minha casa está tensa
J30	4	Travessia	A ponte que ninguém quer construir	Conflito e reconciliação	8	estou em conflito;preciso pedir perdão;a relação está rompida
J31	4	Jornada	Olhar de lado	Comparação, inveja e orgulho	8	me comparo demais;sinto inveja;estou orgulhoso
J32	5	Travessia	Continuar quando esfria	Perseverança	12	estou desanimado;quero desistir;estou cansado de lutar
J33	5	Jornada	A toalha e a bacia	Servir	10	quero servir;não sei onde ajudar;estou cansado de servir
J34	5	Jornada	Ninguém navega sozinho	Igreja e comunidade	10	me machuquei na igreja;me afastei da comunidade;quero pertencer
J35	5	Rota	Sal, luz e vizinho	Missão e testemunho	10	quero falar de Jesus;tenho vergonha de testemunhar;quero viver o que creio
J36	5	Jornada	O que Deus chama de justo	Justiça e misericórdia	10	vejo injustiça;fui injustiçado;quero fazer o que é certo
J37	5	Jornada	Suficiente	Gratidão e contentamento	10	nada me satisfaz;quero ser grato;quero contentamento
J38	5	Jornada	Descansar não é desistir	Descanso	8	estou exausto;preciso descansar;não consigo parar
J39	5	Travessia	O fim que não é o fim	Esperança e futuro	12	preciso de esperança;tenho medo da morte;o futuro me assusta
J40	6	Jornada	Para que serve a sua vida	Propósito e vocação	10	estou sem direção;busco propósito;quero saber o que Deus quer de mim
J41	6	Travessia	Mudança de estação	Transições	7	estou começando uma nova fase;tudo mudou;não sei o que vem agora
J42	6	Rota final	Sem o livro	Construir a sua própria prática	12	quero continuar sozinho;terminei o livro;quero uma prática que dure
