ID|JID|ETAPA|TIPO|TITULO|REFERENCIA|MIN|TAGS
J01E01|J01|1|ETAPA|A primeira palavra|Gênesis 1:1-5|7|criação;revelação;iniciativa de Deus
J01E02|J01|2|ETAPA|O Deus que desce para procurar|Gênesis 3:8-13|7|queda;busca de Deus;vergonha
J01E03|J01|3|FAROL|Como Deus se dá a conhecer|Salmos 19:1-11|10|revelação geral;revelação especial
J01E04|J01|4|ETAPA|O nome que não cabe na sua mão|Êxodo 3:1-15|10|nome de Deus;santidade;chamado
J01E05|J01|5|ETAPA|Santo, santo, santo|Isaías 6:1-8|7|santidade;adoração;perdão
J01E06|J01|6|ETAPA|Bondade não é ingenuidade|Êxodo 34:5-9|7|caráter de Deus;misericórdia;justiça
J01E07|J01|7|CALMARIA|Aquietai-vos|Salmos 46:8-11|3|silêncio;confiança;presença
J01E08|J01|8|ETAPA|Ele não precisa de você — e ainda assim te quer|Atos 17:22-31|10|autossuficiência de Deus;graça
J01E09|J01|9|LASTRO|Guardar quem Ele é|Salmos 100:1-5|3|memorização;gratidão
J01E10|J01|10|MARCO|O que aprendi sobre Deus|1 Crônicas 29:10-13|15|revisão;adoração
J02E01|J02|1|ETAPA|O problema que ninguém inventou|Romanos 3:9-20|7|pecado;lei;honestidade
J02E02|J02|2|ETAPA|Não se trata de ser melhor que alguém|Romanos 3:21-26|10|justificação;propiciação
J02E03|J02|3|FAROL|O que a cruz resolve|Isaías 53:4-6|10|expiação;substituição
J02E04|J02|4|HORIZONTE|O túmulo vazio muda o argumento|1 Coríntios 15:12-20|7|ressurreição;esperança
J02E05|J02|5|ETAPA|Crer não é concordar|João 3:14-21|7|fé;confiança;luz
J02E06|J02|6|ETAPA|Arrependimento não é remorso|2 Coríntios 7:8-11|7|arrependimento;tristeza segundo Deus
J02E07|J02|7|FAROL|Justificado: uma palavra de tribunal|Romanos 5:6-11|10|justificação;paz com Deus
J02E08|J02|8|ETAPA|De servo a filho|Gálatas 4:1-7|7|adoção;herança;Espírito
J02E09|J02|9|ETAPA|A fé que se vê pelas mãos|Tiago 2:14-26|7|fé e obras;evidência
J02E10|J02|10|TEMPESTADE|E se eu não sentir nada?|1 João 5:11-13|7|segurança da salvação;sentimento
J02E11|J02|11|CLAMOR|A oração de quem não tem argumento|Lucas 18:9-14|5|humildade;oração;graça
J02E12|J02|12|MARCO|Onde eu estou com Deus|Efésios 2:11-22|15|revisão;graça;identidade
J03E01|J03|1|ETAPA|Feito, não fabricado|Gênesis 1:26-31|7|imagem de Deus;dignidade
J03E02|J03|2|ETAPA|Antes de você fazer qualquer coisa|Salmos 139:13-18|7|criação;valor;intimidade
